Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	bowtie_2_hisat2-overall_alignment_rate	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	trim_galore_adapter_removal-percent_trimmed
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | IggMs_R1_001.fastq.gz	88.90327384218814	52.0	150.0	150	36.36363636363637	71.369603					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | IggMs_R2_001.fastq.gz	89.76653309996436	53.0	150.0	150	27.27272727272727	71.369603					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | IggRb_R1_001.fastq.gz	91.1735093446575	52.0	150.0	150	36.36363636363637	64.522013					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | IggRb_R2_001.fastq.gz	91.88912353426046	52.0	150.0	150	27.27272727272727	64.522013					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TEAD1-1_R1_001.fastq.gz	94.59857763257233	52.0	150.0	150	36.36363636363637	237.691306					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TEAD1-1_R2_001.fastq.gz	95.09353023613326	53.0	150.0	150	27.27272727272727	237.691306					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TEAD1-2_R1_001.fastq.gz	91.03254575553731	51.0	150.0	150	36.36363636363637	68.939939					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TEAD1-2_R2_001.fastq.gz	91.89693338799663	52.0	150.0	150	27.27272727272727	68.939939					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TEAD1-3_R1_001.fastq.gz	92.29367377105007	50.0	150.0	150	36.36363636363637	74.74671599999999					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TEAD1-3_R2_001.fastq.gz	92.90216223335847	50.0	150.0	150	27.27272727272727	74.74671599999999					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TES-1_R1_001.fastq.gz	70.870411276873	51.0	150.0	150	36.36363636363637	60.876267					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TES-1_R2_001.fastq.gz	71.54977091155668	52.0	150.0	150	27.27272727272727	60.876267					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TES-2_R1_001.fastq.gz	89.06965815399751	52.0	150.0	150	36.36363636363637	65.179879					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TES-2_R2_001.fastq.gz	90.13407488229578	53.0	150.0	150	27.27272727272727	65.179879					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TES-3_R1_001.fastq.gz	71.41111711314554	51.0	150.0	150	36.36363636363637	69.142383					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TES-3_R2_001.fastq.gz	72.27808309922897	52.0	150.0	150	27.27272727272727	69.142383					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TESmut-1_R1_001.fastq.gz	80.00812674068217	52.0	150.0	150	36.36363636363637	68.515115					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TESmut-1_R2_001.fastq.gz	80.70011126763396	52.0	150.0	150	27.27272727272727	68.515115					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TESmut-2_R1_001.fastq.gz	81.49804372626011	51.0	150.0	150	36.36363636363637	66.652695					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TESmut-2_R2_001.fastq.gz	82.235191677206	52.0	150.0	150	27.27272727272727	66.652695					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TESmut-3_R1_001.fastq.gz	81.02384086553886	53.0	150.0	150	36.36363636363637	91.417874					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 01_fastqc | TESmut-3_R2_001.fastq.gz	81.26782411175643	53.0	150.0	150	27.27272727272727	91.417874					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggMs_R1_001.fastq.gz											33.50649200052297
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggMs_R1_001_val_1.fq.gz	88.91577487645695	51.0	99.88499495892295	97	27.27272727272727	71.301231					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggMs_R2_001.fastq.gz											33.48992261219855
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggMs_R2_001_val_2.fq.gz	89.79473521265936	51.0	99.93243730252007	97	18.181818181818183	71.301231					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggRb_R1_001.fastq.gz											30.703602164427203
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggRb_R1_001_val_1.fq.gz	91.22469029810017	51.0	104.09022537718303	102	27.27272727272727	64.446231					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggRb_R2_001.fastq.gz											30.682677626109818
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | IggRb_R2_001_val_2.fq.gz	91.97681036642138	51.0	104.15252705003029	102	18.181818181818183	64.446231					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-1_R1_001.fastq.gz											35.61670050313073
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-1_R1_001_val_1.fq.gz	94.64600637812369	52.0	96.78354975950069	87	27.27272727272727	237.249115					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-1_R2_001.fastq.gz											35.589326973532636
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-1_R2_001_val_2.fq.gz	95.18742767182346	52.0	96.85267606372315	87	18.181818181818183	237.249115					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-2_R1_001.fastq.gz											29.42520141578116
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-2_R1_001_val_1.fq.gz	91.04819322237196	51.0	106.03275130778896	107	27.27272727272727	68.87120399999999					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-2_R2_001.fastq.gz											29.41682814659874
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-2_R2_001_val_2.fq.gz	91.92949275947166	51.0	106.07073234119734	107	18.181818181818183	68.87120399999999					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-3_R1_001.fastq.gz											29.9302662072806
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-3_R1_001_val_1.fq.gz	92.33538365560425	48.0	105.27169375983894	102	27.27272727272727	74.666967					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-3_R2_001.fastq.gz											29.915513826721163
