Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	bowtie_2_hisat2-overall_alignment_rate	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	trim_galore_adapter_removal-percent_trimmed
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TEAD1-3_R2_001_val_2.fq.gz	92.97322428095158	48.0	105.31728558761466	102	18.181818181818183	74.666967					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-1_R1_001.fastq.gz											29.350293297933877
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-1_R1_001_val_1.fq.gz	70.8769289349672	50.0	106.14416467125211	102	27.27272727272727	60.820695					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-1_R2_001.fastq.gz											29.33576917038403
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-1_R2_001_val_2.fq.gz	71.56845803391238	50.0	106.19781067940772	102	18.181818181818183	60.820695					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-2_R1_001.fastq.gz											33.29564818615266
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-2_R1_001_val_1.fq.gz	89.09414508158373	52.0	100.13522002696824	97	27.27272727272727	65.141083					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-2_R2_001.fastq.gz											33.27204000076976
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-2_R2_001_val_2.fq.gz	90.17340610242125	52.0	100.1931257651949	97	18.181818181818183	65.141083					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-3_R1_001.fastq.gz											34.136589815444076
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-3_R1_001_val_1.fq.gz	71.40924885292122	50.0	98.91341142410354	92	27.27272727272727	69.079696					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-3_R2_001.fastq.gz											34.11135850881313
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TES-3_R2_001_val_2.fq.gz	72.29907983275788	50.0	98.98048197114244	92	18.181818181818183	69.079696					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-1_R1_001.fastq.gz											31.491551063829736
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-1_R1_001_val_1.fq.gz	80.02548526181891	51.0	102.88987002269354	97	27.27272727272727	68.436639					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-1_R2_001.fastq.gz											31.46967739892139
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-1_R2_001_val_2.fq.gz	80.73599110592627	51.0	102.95251501903827	97	18.181818181818183	68.436639					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-2_R1_001.fastq.gz											32.26074246510212
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-2_R1_001_val_1.fq.gz	81.50504579571381	50.0	101.69120796080625	97	36.36363636363637	66.598179					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-2_R2_001.fastq.gz											32.24455671297312
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-2_R2_001_val_2.fq.gz	82.26429759989354	50.0	101.74284814904624	97	27.27272727272727	66.598179					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-3_R1_001.fastq.gz											41.027080437245786
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-3_R1_001_val_1.fq.gz	81.00035284628838	50.0	88.58488540870466	77	36.36363636363637	91.222374					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-3_R2_001.fastq.gz											40.98822535878852
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 02_trimmed | TESmut-3_R2_001_val_2.fq.gz	81.28224504532861	50.0	88.67454457499647	77	27.27272727272727	91.222374					
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | IggMs_bowtie2.log							16.91				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | IggMs_flagstat.txt								142.602462	24.109707999999998	16.91	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | IggRb_bowtie2.log							42.09				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | IggRb_flagstat.txt								128.892462	54.254208	42.09	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TEAD1-1_bowtie2.log							23.66				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TEAD1-1_flagstat.txt								474.49823	112.26838599999999	23.66	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TEAD1-2_bowtie2.log							13.8				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TEAD1-2_flagstat.txt								137.74240799999998	19.005034	13.8	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TEAD1-3_bowtie2.log							28.57				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TEAD1-3_flagstat.txt								149.333934	42.657303999999996	28.57	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TES-1_bowtie2.log							55.02				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TES-1_flagstat.txt								121.64139	66.925916	55.02	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TES-2_bowtie2.log							42.24				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TES-2_flagstat.txt								130.282166	55.036553999999995	42.24	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TES-3_bowtie2.log							73.0				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TES-3_flagstat.txt								138.159392	100.855886	73.0	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TESmut-1_bowtie2.log							55.65				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TESmut-1_flagstat.txt								136.873278	76.17356199999999	55.65	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TESmut-2_bowtie2.log							48.88				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TESmut-2_flagstat.txt								133.196358	65.11270999999999	48.88	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TESmut-3_bowtie2.log							61.46				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva | results | 03_aligned | TESmut-3_flagstat.txt								182.444748	112.12386	61.46	
